Designator,Mid X,Mid Y,Rotation,Layer
C1,79.502,-133.604,0.0,top
C2,76.708,-118.7845,90.0,top
C3,74.93,-118.935,90.0,top
C4,79.502,-126.492,0.0,top
D1,79.565,-135.382,180.0,top
D2,79.502,-130.048,180.0,top
IC1,75.4,-128.09,0.0,top
J1,71.12,-111.76,90.0,top
J2,68.58,-120.142,0.0,top
J4,83.82,-120.142,0.0,top
J5,88.9,-121.92,0.0,top
R1,79.502,-131.826,180.0,top
R10,79.502,-128.27,180.0,top
R11,72.136,-122.174,90.0,top
R12,79.756,-122.174,90.0,top
R2,76.962,-134.366,90.0,top
R3,75.184,-134.366,270.0,top
R4,79.565,-137.16,0.0,top
R6,71.628,-134.366,270.0,top
R7,73.406,-134.366,270.0,top
R8,71.628,-130.747,270.0,top
R9,71.628,-127.445,90.0,top
U1,67.647,-161.884,0.0,top
