Designator,Mid X,Mid Y,Rotation,Layer
C1,10.875,10.462742,0.0,top
C2,19.5,14.812742,0.0,top
C3,19.3,13.062742,0.0,top
C4,14.025,8.512742,270.0,top
D1,10.875,8.462742,0.0,top
D2,10.8375,6.462742,0.0,top
IC1,13.6551,13.975001,270.0,top
J1,26.6,15.872742,0.0,top
J2,21.5775,23.7,270.0,top
J3,21.4825,1.7,270.0,top
J4,23.8,13.987742,90.0,top
R1,21.2,4.762742,0.0,top
R10,7.5,6.462742,180.0,top
R11,16.3,18.662742,90.0,top
R12,16.3,9.362742,270.0,top
R2,7.4,10.462742,0.0,top
R3,5.5,19.462742,270.0,top
R4,7.4,8.462742,0.0,top
R5,17.3,4.862742,0.0,top
R6,13.8,19.437742,90.0,top
R7,11.6,19.437742,90.0,top
R8,7.6,19.462742,270.0,top
R9,9.6,19.462742,270.0,top
